epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,8523.61,0.28452,0.91484,1,0.30725,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,8653.83,0.28782,0.90511,1,0.29455,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,8785.77,0.26725,0.90268,1,0.2626,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,8911.48,0.28449,0.89538,1,0.32789,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,9038.16,0.28348,0.91484,1,0.26016,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,9191.17,0.28193,0.90268,1,0.30773,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,9349.33,0.28569,0.90024,1,0.329,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,9473.83,0.27526,0.89051,1,0.36307,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,9614.29,0.26049,0.90024,1,0.29687,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,9740.63,0.25932,0.90511,1,0.28094,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,9876.51,0.26597,0.91241,1,0.25751,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,10022.6,0.25726,0.89781,1,0.30403,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
