epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,10545.6,0.32418,0.90998,1,0.26336,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,10677.5,0.30103,0.90268,1,0.2978,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,10809.4,0.33064,0.89781,1,0.27284,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,10941.7,0.30266,0.89538,1,0.31416,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,11077.2,0.3248,0.89538,1,0.30688,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,11210.6,0.31571,0.90268,1,0.34647,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,11340.3,0.30611,0.90998,1,0.30343,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,11468.4,0.31415,0.91241,1,0.26612,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,11594.9,0.31824,0.89781,1,0.26298,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,11722.1,0.2867,0.90511,1,0.2805,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,11854.5,0.29795,0.90511,1,0.28464,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,11985.7,0.30899,0.89294,1,0.33187,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,12119.5,0.30256,0.89538,1,0.3181,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,12257.2,0.29222,0.89781,1,0.30475,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,12393.4,0.31271,0.89538,1,0.29601,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,12527.5,0.28497,0.90268,1,0.26004,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,12661.1,0.29087,0.90268,1,0.27289,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,12795.3,0.288,0.90511,1,0.27766,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,12926.3,0.29747,0.91484,1,0.27224,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,13059.2,0.27192,0.90754,1,0.29908,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,13191.6,0.2788,0.91484,1,0.26027,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,13330,0.25945,0.90754,1,0.27467,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,13491.6,0.26769,0.92214,1,0.26025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,13654.9,0.26011,0.91241,1,0.31047,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,13824.8,0.28764,0.91727,1,0.27782,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,13996.8,0.26127,0.90998,1,0.28503,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,14139.2,0.25739,0.91241,1,0.33144,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,14307.1,0.28371,0.91971,1,0.25435,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,14464.6,0.27721,0.91241,1,0.26793,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,14613.2,0.25629,0.91484,1,0.31594,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,14755.4,0.26611,0.90998,1,0.28282,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,14893.5,0.27096,0.90754,1,0.30625,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,15039.3,0.26598,0.90268,1,0.28577,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,15185.8,0.24231,0.90511,1,0.31739,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,15342,0.26596,0.90754,1,0.32034,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,15490.8,0.25376,0.91241,1,0.35564,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,15630.3,0.24739,0.90754,1,0.32689,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,15772.8,0.27002,0.90998,1,0.34239,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,15916.9,0.25713,0.91484,1,0.27793,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,16067.3,0.25467,0.91727,1,0.28399,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
